address,cluster_mode
bình chánh,1
bình thạnh,0
bình tân,1
cần giờ,0
gò vấp,1
nhà bè,1
phú nhuận,1
quận 1,0
quận 10,1
quận 11,2
quận 12,1
quận 2,0
quận 3,1
quận 4,1
quận 5,1
quận 6,1
quận 7,1
quận 8,1
quận 9,1
thủ đức,1
tân bình,0
tân phú,1
