price,area,bedrooms,bathrooms,address,price_per_m2
2.9,58.0,1.0,1.0,quận 9,0.049999999999999996
17.3,150.0,4.0,3.0,bình thạnh,0.11533333333333334
2.1,47.0,1.0,1.0,quận 9,0.04468085106382979
8.5,89.0,2.0,2.0,bình thạnh,0.09550561797752809
2.9,69.0,2.0,2.0,quận 9,0.042028985507246375
5.4,65.96,2.0,2.0,quận 7,0.08186779866585811
30.0,151.0,3.0,3.0,quận 2,0.1986754966887417
1.43,79.0,2.0,2.0,quận 8,0.01810126582278481
2.0,47.0,1.0,1.0,quận 9,0.0425531914893617
2.8,58.0,2.0,2.0,quận 9,0.04827586206896552
4.5,82.3,3.0,2.0,quận 9,0.054678007290400975
3.5,69.0,2.0,2.0,quận 9,0.050724637681159424
2.1,51.4,1.0,1.0,quận 9,0.04085603112840467
11.5,88.0,10.0,11.0,gò vấp,0.13068181818181818
41.0,700.0,5.0,5.0,quận 2,0.05857142857142857
4.35,93.0,2.0,2.0,quận 9,0.04677419354838709
7.0,55.0,1.0,0.0,quận 2,0.12727272727272726
4.55,78.0,2.0,2.0,bình chánh,0.058333333333333334
2.45,50.0,2.0,2.0,quận 12,0.049
3.8,60.0,2.0,2.0,nhà bè,0.06333333333333332
7.9,77.0,2.0,2.0,quận 2,0.1025974025974026
5.8,56.0,1.0,1.0,quận 2,0.10357142857142856
5.2,73.0,2.0,2.0,quận 2,0.07123287671232877
4.45,115.0,2.0,2.0,quận 8,0.03869565217391305
4.7,129.0,3.0,3.0,nhà bè,0.03643410852713178
8.5,135.0,4.0,2.0,quận 4,0.06296296296296296
4.295,186.0,4.0,3.0,bình thạnh,0.023091397849462365
3.4,62.0,2.0,1.0,quận 2,0.054838709677419356
7.88,108.0,3.0,2.0,quận 10,0.07296296296296297
2.65,67.0,2.0,2.0,quận 9,0.03955223880597015
5.9,48.2,1.0,1.0,quận 2,0.12240663900414937
3.2,69.2,2.0,2.0,quận 9,0.046242774566473986
2.7,67.0,2.0,2.0,quận 9,0.04029850746268657
20.0,104.0,2.0,2.0,quận 1,0.19230769230769232
11.11,80.0,2.0,2.0,bình thạnh,0.138875
5.1,83.33,3.0,2.0,bình tân,0.06120244809792391
1.18,75.0,2.0,2.0,quận 8,0.015733333333333332
3.066,87.0,2.0,2.0,bình thạnh,0.03524137931034482
10.0,74.0,2.0,2.0,quận 3,0.13513513513513514
8.22,51.7,1.0,1.0,quận 2,0.15899419729206962
9.2,150.0,3.0,3.0,quận 8,0.06133333333333333
8.4,80.0,2.0,2.0,quận 2,0.10500000000000001
16.2,450.0,18.0,17.0,quận 9,0.036
1.77,54.1,2.0,1.0,bình chánh,0.03271719038817005
27.0,155.0,4.0,3.0,bình thạnh,0.17419354838709677
8.05,74.0,2.0,2.0,quận 2,0.1087837837837838
7.1,68.9,2.0,2.0,quận 2,0.10304789550072567
3.25,69.0,2.0,2.0,quận 9,0.04710144927536232
5.5,74.0,3.0,2.0,quận 7,0.07432432432432433
8.36,107.0,2.0,2.0,quận 10,0.07813084112149532
2.19,46.7,1.0,1.0,quận 9,0.0468950749464668
11.5,98.4,3.0,2.0,quận 2,0.11686991869918699
13.0,112.0,3.0,2.0,quận 2,0.11607142857142858
4.3,72.18,2.0,2.0,quận 9,0.059573288999722904
