price,area,bedrooms,bathrooms,address
20.6,58.1,1.0,1.0,quận 1
20.0,56.0,1.0,1.0,quận 1
8.9,51.0,1.0,1.0,quận 1
9.5,50.0,1.0,1.0,quận 1
10.2,48.0,1.0,1.0,quận 1
8.5,52.0,1.0,1.0,quận 2
13.7,64.0,1.0,1.0,quận 2
7.3,60.0,1.0,1.0,quận 2
7.0,55.0,1.0,0.0,quận 2
11.3,64.0,1.0,1.0,quận 2
12.0,50.0,1.0,1.0,quận 2
8.0,81.0,1.0,1.0,quận 2
12.0,50.0,1.0,1.0,quận 2
13.5,50.0,1.0,1.0,quận 2
4.2,52.0,1.0,0.0,quận 2
3.8,49.0,1.0,1.0,quận 2
4.35,48.0,1.0,1.0,quận 2
6.3,52.0,1.0,1.0,quận 2
180.0,500.0,1.0,1.0,quận 2
6.9,54.8,1.0,1.0,quận 2
4.3,65.0,1.0,0.0,quận 2
1.25,20.0,1.0,1.0,quận 5
3.9,51.0,1.0,1.0,quận 6
2.99,53.0,1.0,1.0,quận 7
2.67,50.0,1.0,1.0,quận 7
2.55,50.0,1.0,1.0,quận 7
2.9,53.68,1.0,1.0,quận 7
2.7,53.0,1.0,1.0,quận 7
2.48,50.0,1.0,1.0,quận 7
25.0,200.0,1.0,1.0,quận 7
6.3,46.0,1.0,1.0,quận 7
2.6,50.0,1.0,1.0,quận 7
3.6,55.0,1.0,1.0,quận 7
2.5,53.0,1.0,1.0,quận 7
3.19,53.0,1.0,1.0,quận 7
3.0,49.0,1.0,1.0,quận 8
2.3,52.0,1.0,1.0,quận 8
2.28,48.0,1.0,1.0,quận 9
3.0,65.0,1.0,1.0,quận 9
3.0,65.0,1.0,1.0,quận 9
2.9,63.0,1.0,1.0,quận 9
3.0,65.0,1.0,1.0,quận 9
1.95,31.0,1.0,1.0,quận 9
4.0,54.0,1.0,1.0,quận 9
2.59,47.0,1.0,1.0,quận 9
3.2,64.0,1.0,2.0,quận 9
3.25,55.0,1.0,1.0,quận 9
2.85,34.0,1.0,1.0,quận 9
2.45,55.0,1.0,1.0,quận 9
2.65,47.0,1.0,1.0,quận 9
3.1,63.0,1.0,1.0,quận 9
7.0,72.5,1.0,1.0,quận 10
0.797,30.0,1.0,1.0,quận 12
1.32,40.0,1.0,1.0,bình chánh
3.2,40.0,1.0,1.0,phú nhuận
3.2,40.0,1.0,1.0,phú nhuận
3.29,51.0,1.0,1.0,bình tân
4.2,50.0,1.0,1.0,bình tân
2.7,50.6,1.0,1.0,tân bình
2.6,52.0,1.0,1.0,tân bình
2.65,52.0,1.0,1.0,tân bình
2.8,50.0,1.0,1.0,tân bình
2.65,50.0,1.0,1.0,tân bình
6.4,48.0,1.0,1.0,bình thạnh
7.6,54.0,1.0,1.0,bình thạnh
5.9,52.0,1.0,1.0,bình thạnh
3.61,53.0,1.0,1.0,tân phú
3.6,53.0,1.0,1.0,tân phú
2.2,50.0,1.0,1.0,nhà bè
