tieu_de,quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
"📢 Bán căn hộ 1 phòng ngủ - NHÀ MỚI, VIEW ĐẸP 🏙️ 📍 Diện tích: 53m²",1,53.0,53.0,1.0,1.0,6.02
"🏙 Bán căn hộ 1PN - View xéo sông, nhà mới đẹp 📐 Diện tích: 50m² 1PN",1,50.0,50.0,1.0,1.0,7.235
🏙 Bán CH VHGR Q1 3PN vòng cung – view toàn thành phố & LANDMARK 81,1,105.0,105.0,3.0,2.0,12.45
Vinhomes Golden River Q1🛌3PN.... 📐 Diện tích 121m² Nội thất: Full,1,121.0,121.0,3.0,2.0,10.39
"🌆 Vinhomes Golden River – Aqua 2 🛌2PN • 78m², nội thất Full",1,78.0,78.0,2.0,2.0,4.14
"🏙️Cần bán căn hộ Vinhomes Golden River 🌊Loại căn: 2PN, Officetel",1,72.0,72.0,2.0,2.0,3.135
"🌊Bán Căn hộ VHGR – 2PN, view sông, full nội thất cơ bản ✅DT: 69m2 2pn",1,69.0,69.0,2.0,2.0,5.18
🏢 BÁN CĂN HỘ CAO CẤP VHGR – TÒA A3 👉Diện tích: 121m² 👉Thiết kế: 3PN,1,121.0,121.0,3.0,2.0,11.26
"Bán căn hộ Vinhomes Center đường Đồng Khở, có sân vườn và hồ bơi riêng",1,139.0,139.0,2.0,2.0,43.0
"Xuất cảnh bán gấp căn hộ Vinhomes Đồng Khởi, Quận 1, có sân vườn riêng",1,135.0,135.0,2.0,2.0,43.0
"Bán căn hộ sân vườn duy nhất tầng 21 ngay TTTM Vincom Center, Quận 1",1,139.0,139.0,2.0,2.0,43.0
"Bán căn hộ cao cấp Vinhomes Đồng Khởi, tầng 21, căn sân vườn ra hồ bơi",1,139.0,139.0,2.0,2.0,43.0
"Bán chung cư 57 Đỗ Quang Đẩu Q.1- 32m2 - 1PN 2WC - 1,99 tỷ",1,32.0,32.0,1.0,2.0,1.99
Bán căn hộ CC cao tầng chung cư ZENITY Q1 TP HCM - VIEW ĐẸP 💥Vị trí,1,108.0,108.0,3.0,2.0,1.965
"Căn hộ 3PN V𝐈𝐍𝐇𝐎𝐌𝐄𝐒 𝗚𝗢𝗟𝗗𝗘𝗡 𝗥𝗜𝗩𝗘𝗥,Q1-Giá: 11 tỷ",1,121.0,121.0,3.0,2.0,11.0
"Bán căn hộ 2PN 80m2 Central Garden Quận 1, giá: 5.1 tỷ, sổ hồng",1,80.0,80.0,2.0,2.0,5.1
